Código Tarifa;Código Propio;Descripción;Valor
584601;584601;URETROPLASTIA TRANSPUBICA;2415700
584602;584602;URETROPLASTIA CON OTROS TEJIDOS (CON INJERTO LIBRE DE MUCOSA VESICAL);2415700
584700;584700;MEATOPLASTIA URETRAL SOD;660700
584901;584901;MARSUPIALIZACION DE DIVERTICULO URETRAL;2263300
585010;585010;MEATOTOMIA URETRAL INTERNA;660700
586101;586101;DILATACION DE URETRA POR URETROTOMIA EXTERNA;660700
586102;586102;DILATACION DE URETRA POR URETROTOMIA INTERNA;660700
586200;586200;DILATACION DE UNION URETROVESICAL SOD;49500
586300;586300;DILATACION DE URETRA POR SONDEO SOD;660700
589120;589120;INCISION Y DRENAJE DE COLECCIONES PERIURETRALES O URINOSOS;660700
589200;589200;ESCISION DE TEJIDO PERIURETRAL SOD;1293272
590200;590200;URETEROLISIS CON LIBERACION O REPOSICIONAMIENTO DE URETER SOD;1970700
590400;590400;INCISION Y DRENAJE DE COLECCION PERIRRENAL SOD;1970700
591920;591920;INCISION Y DRENAJE DE COLECCION EN TEJIDO PERIVESICAL Y ESPACIO DE RETZIUS;1293200
592003;592003;NEFROLITOTOMIA O EXTRACCION DE CUERPO EXTRAÑO EN RIÑON VIA LAPAROSCOPICA;1970700
592303;592303;URETROLITOTOMIA O EXTRACCION DE CUERPO EXTRAÑO EN URETRA VIA ENDOSCOPICA;1970700
595101;595101;SUSPENSION URETRO VESICAL RETROPUBICA;2263288
595103;595103;URETROCISTOPEXIA POR LAPAROSCOPIA;2116600
597104;597104;CISTOURETROPEXIA VAGINAL;2263300
597251;597251;INYECCION PERIURETRAL ENDOSCOPICA;2263300
597940;597940;URETROCOLPOPEXIA VIA VAGINAL O ABDOMINAL;1970700
598001;598001;CATETERISMO URETERAL DE AUTORETENCION VIA ENDOSCOPICA;1477000
5DS002;5DS002-1;DERECHOS DE SALA DE CURACIONES O PROCEDIMIENTOS;19300
5DS002;5DS002-2;DERECHOS DE SALA DE QUIMIOTERAPIA  - QUIMIOTERAPIA;258680
5DS002;5DS002-3;INFUSION O ADMINISTRACION DE SOLUCIONES DE ;143840
5DS003;5DS003;DERECHOS DE SALA DE PEQUEÑA CIRUGIA (SUTURAS);44400
5DS004;5DS004;DERECHOS DE SALA DE YESOS;62800
5DSM01;5DSM01;DERECHOS DE SALA DE OBSERVACION EN URGENCIAS COMPLEJIDAD MEDIANA;76600
600110;600110;DRENAJE DE COLECCION EN PROSTATA VIA ABIERTA;1293200
600112;600112;DRENAJE DE COLECCION EN PROSTATA VIA ENDOSCOPICA;1293200
601102;601102;BIOPSIA CERRADA DE PROSTATA POR ABORDAJE PERINEAL;660700
602002;602002;ADENOMECTOMIA O PROSTATECTOMIA TRANSVESICAL;2263300
607301;607301;VESICULECTOMIA O ESPERMATOCISTECTOMIA;2415700
609402;609402;CONTROL DE HEMORRAGIA PROSTATICA VIA ENDOSCOPICA;1293272
610101;610101;INCISION Y DRENAJE DE ESCROTO Y TUNICA VAGINALIS;660700
611101;611101;BIOPSIA DE ESCROTO;388400
612100;612100;REPARACION O ESCISION DE HIDROCELE [HIDROCELECTOMIA] DE TUNICA VAGINALIS SOD;1477000
613101;613101;RESECCION DE QUISTE SEBACEO EN ESCROTO;522100
613102;613102;FULGURACION DE LESION ESCROTAL;522100
613103;613103;RESECCION O ABLACION DE LESION EN ESCROTO;1970700
613401;613401;RESECCION PARCIAL DEL ESCROTO;1970700
613402;613402;RESECCION TOTAL DEL ESCROTO;2415700
614100;614100;SUTURA DE LACERACION DE ESCROTO Y TUNICA VAGINALIS SOD;522100
614200;614200;FISTULECTOMIA DEL ESCROTO SOD;1293200
619100;619100;ASPIRACION PERCUTANEA DE TUNICA VAGINAL (HIDROCELE) SOD;910800
619201;619201;DRENAJE DE COLECCION DE TUNICA VAGINALIS;1476947
619202;619202;EXTRACCION DE CUERPO EXTRAÑO DEL ESCROTO POR INCISION;660700
620100;620100;DRENAJE POR INCISION EN TESTICULO SOD;1477000
621200;621200;BIOPSIA ABIERTA DE TESTICULO SOD;1176600
622100;622100;RESECCION DE LESION TESTICULAR SOD;1477000
623001;623001;ORQUIECTOMIA CON EPIDIDIDECTOMIA (RADICAL);1477000
623002;623002;RESECCION DE TESTICULO [ORQUIECTOMIA];1477000
625101;625101;ORQUIDOPEXIA CON DESTORSION DE TESTICULO O DE CORDON ESPERMATICO;1970700
625104;625104;FIJACION TESTICULAR PROFILACTICA;1293200
625201;625201;IMPLANTACION DEL TESTICULO EN TEJIDOS VECINOS;2415700
625203;625203;ORQUIDOPEXIA UNILATERAL VIA ABIERTA;1970700
625205;625205;ORQUIDOPEXIA BILATERAL VIA ABIERTA;1970700
626100;626100;ORQUIDORRAFIA O SUTURA DE TESTICULO SOD;1477000
629300;629300;EXTRACCION DE CUERPO EXTRAÑO DEL TESTICULO SOD;1477000
630100;630100;BIOPSIA DE EPIDIDIMO SOD;910800
630300;630300;BIOPSIA DE CONDUCTO DEFERENTE SOD;910800
631001;631001;LIGADURA ALTA DE VENA ESPERMATICA VIA RETROPERITONEAL;660643
631010;631010;VARICOCELECTOMIA CON LIGADURA ALTA DE VENA ESPERMATICA;1477000
631011;631011;VARICOCELECTOMIA CON PRESERVACION DE ARTERIA;1477000
631301;631301;HIDROCELECTOMIA DE CORDON ESPERMATICO VIA INGUINAL;1477000
632100;632100;ESPERMATOCELECTOMIA O RESECCION QUISTE DEL EPIDIDIMO SOD;1477000
633200;633200;RESECCION DE HEMATOCELE DE CORDON ESPERMATICO SOD;1477000
634000;634000;EPIDIDIMECTOMIA SOD;1477000
635100;635100;SUTURA DE LACERACION EN CORDON ESPERMATICO Y EPIDIDIMO SOD;910739
635200;635200;REDUCCION DE TORSION TESTICULAR O CORDON ESPERMATICO SOD;1477000
637100;637100;LIGADURA O SECCION DE CONDUCTO DEFERENTE SOD;2415700
637200;637200;LIGADURA DE CORDON ESPERMATICO SOD;660643
637300;637300;VASECTOMIA SOD;660700
639600;639600;EXTRACCION DE CUERPO EXTRAÑO DE CORDON ESPERMATICO Y EPIDIDIMO SOD;1476947
640000;640000;CIRCUNCISION SOD;910800
641100;641100;BIOPSIA DE PENE SOD;522100
641201;641201;ENDOSCOPIA DE URETRA PENEANA;910739
642100;642100;FULGURACION O RESECCION DE LESION EN PENE SOD;522100
644100;644100;SUTURA DE LACERACION O HERIDA EN PENE SOD;910800
644200;644200;LIBERACION DE CORDEE SOD;1176600
644400;644400;RECONSTRUCCION PENEANA SOD;2415700
644920;644920;PLASTIA DE FRENILLO PENEAL;522100
644930;644930;INYECCION EN PLACAS DE FIBROSIS DE PENE;388380
649100;649100;CORTE DORSAL O LATERAL EN PREPUCIO SOD;1176600
649802;649802;DERIVACION CUERPO-SAFENA O SAFENO-CAVERNOSA;2415700
649803;649803;IRRIGACION, PUNCION O DRENAJE DE CUERPO CAVERNOSO;1970700
649805;649805;INCISION Y DRENAJE DE FLEGMON PENEANO;910800
651203;651203;BIOPSIA DE OVARIO VIA PERCUTANEA;1293200
651204;651204;BIOPSIA DE OVARIO VIA VAGINAL;1293200
652203;652203;RESECCION PARCIAL DE OVARIO VIA VAGINAL;1176600
652301;652301;RESECCION DE TUMOR DE OVARIO POR LAPAROTOMIA;1176600
652303;652303;RESECCION DE TUMOR DE OVARIO VIA VAGINAL;1176600
652401;652401;PUNCION Y DRENAJE DE LESION DE OVARIO POR LAPAROTOMIA;1176669
652404;652404;PUNCION Y DRENAJE DE LESION DE OVARIO VIA VAGINAL;1293200
652410;652410;OFOROSTOMIA;1176600
652701;652701;FULGURACION EN OVARIO POR LAPAROTOMIA;910739
652801;652801;RESECCION DE QUISTE PARAOVARICO POR LAPAROTOMIA;1176600
652804;652804;RESECCION DE QUISTE PARAOVARICO VIA VAGINAL;1293200
652901;652901;LIBERACION O LISIS DE ADHERENCIAS (LEVES, MODERADAS O SEVERAS) DE OVARIO POR LAPAROTOMIA;1970700
653101;653101;OOFORECTOMIA UNILATERAL POR LAPAROTOMIA;1176600
653104;653104;OOFORECTOMIA UNILATERAL VIA VAGINAL;1176600
655101;655101;OOFORECTOMIA BILATERAL POR LAPAROTOMIA;1176600
655104;655104;OOFORECTOMIA BILATERAL VIA VAGINAL;1176600
657801;657801;OOFOROPEXIA UNILATERAL POR LAPAROTOMIA;1176600
657803;657803;OOFOROPEXIA BILATERAL POR LAPAROTOMIA;1176600
661110;661110;BIOPSIA DE TROMPAS DE FALOPIO POR LAPAROTOMIA;1293200
662101;662101;ABLACION U OCLUSION DE TROMPA DE FALOPIO UNICA POR LAPAROTOMIA;1176600
662103;662103;ABLACION U OCLUSION DE TROMPA DE FALOPIO UNICA POR VIA VAGINAL;910739
662201;662201;ABLACIÓN U OCLUSIÓN DE TROMPA DE FALOPIO BILATERAL POR LAPAROTOMÍA;910739
664001;664001;SALPINGECTOMIA UNILATERAL TOTAL POR LAPAROTOMIA;1176600
664003;664003;SALPINGECTOMIA UNILATERAL TOTAL POR VIA VAGINAL;1176600
665001;665001;SALPINGECTOMÍA BILATERAL TOTAL POR LAPAROTOMÍA;1176600
665002;665002;SALPINGECTOMIA BILATERAL TOTAL POR LAPAROSCOPIA;1176600
665003;665003;SALPINGECTOMIA BILATERAL TOTAL POR VIA VAGINAL;1176600
667101;667101;SUTURA SIMPLE DE TROMPA DE FALOPIO POR LAPAROTOMIA;1970700
667301;667301;SALPINGO-SALPINGOSTOMIA POR LAPAROTOMIA;1970805
667901;667901;SALPINGOPLASTIA (FIMBRIOPLASTIA) POR LAPAROTOMIA;1970700
669101;669101;SALPINGO-OOFORECTOMIA UNILATERAL POR LAPAROTOMIA;1176600
669103;669103;SALPINGO-OOFORECTOMIA UNILATERAL POR VIA VAGINAL;1176600
669201;669201;SALPINGO-OOFORECTOMÍA BILATERAL POR LAPAROTOMÍA;1176600
669203;669203;SALPINGO-OOFORECTOMIA BILATERAL POR VIA VAGINAL;1176600
669410;669410;SALPINGO-OOFOROPLASTIA [OPERACION DE ESTES];1970700
669901;669901;LIBERACION O LISIS DE ADHERENCIAS DE OVARIO Y TROMPAS DE FALOPIO POR LAPAROTOMIA;1970700
670101;670101;DILATACION Y CURETAJE DEL MUÑON CERVICAL;388380
672001;672001;CONIZACION CERVICAL;660700
673101;673101;ESCISION DE POLIPO EN CUELLO UTERINO [CERVIX];388400
673201;673201;ABLACIÓN DE LESIÓN O TEJIDO DE CUELLO UTERINO;47600
674103;674103;ESCISION DE MUÑON CERVICAL POR VIA VAGINAL;660643
676101;676101;SUTURA DE LACERACION O DESGARRO DE CUELLO UTERINO [CERVIX] VIA VAGINAL;660700
676910;676910;CORRECCION DE DESGARRO OBSTETRICO ANTIGUO DE CUELLO UTERINO;660700
676920;676920;TRAQUELOPLASTIA CON TRAQUELORRAFIA;2263300
680101;680101;HISTEROTOMIA;1293200
681201;681201;HISTEROSCOPIA;388400
682302;682302;RESECCION DE POLIPO ENDOMETRIAL POR HISTEROSCOPIA;388400
682401;682401;MIOMECTOMÍA UTERINA Y ESCISIÓN DE TUMOR FIBROIDE (UNICO O MULTIPLE) POR LAPAROTOMÍA;2116600
682402;682402;MIOMECTOMIA UTERINA UNICA O MULTIPLE POR VIA VAGINAL;2116600
682403;682403;MIOMECTOMÍA UTERINA (ÚNICA O MÚLTIPLE) POR LAPAROSCOPIA;2116600
682404;682404;MIOMECTOMIA UTERINA UNICA O MULTIPLE POR HISTEROSCOPIA;2116600
683101;683101;HISTERECTOMIA SUBTOTAL O SUPRACERVICAL POR LAPAROTOMIA;2116600
684001;684001;HISTERECTOMIA TOTAL ABDOMINAL CON REMOCION DE MOLA O FETO MUERTO POR LAPAROTOMIA;2116600
684003;684003;HISTERECTOMIA TOTAL POR LAPAROTOMIA;2116600
684103;684103;HISTERECTOMIA TOTAL ABDOMINAL AMPLIADA POR LAPAROTOMIA;2116600
685102;685102;HISTERECTOMIA POR VIA VAGINAL;2116600
690103;690103;LEGRADO UTERINO GINECOLOGICO;388400
691110;691110;RESECCION DE TUMOR DE LIGAMENTO ANCHO POR LAPAROTOMIA;1477000
691301;691301;SECCIÓN DE ADHERENCIAS UTERINAS A PARED ABDOMINAL VÍA LAPAROTOMÍA;1176600
691901;691901;DRENAJE DE COLECCION DE LIGAMENTO ANCHO POR LAPAROTOMIA;910800
694203;694203;CIERRE DE FISTULA DE UTERO (ISTMOCELE) POR VIA VAGINAL;2415700
697101;697101;INSERCION DE DISPOSITIVO INTRAUTERINO ANTICONCEPTIVO [DIU];52000
701301;701301;LIBERACION DE ADHERENCIAS INTRALUMINALES EN VAGINA;660643
701410;701410;SECCION O INCISION DE TABIQUE VAGINAL;910800
701420;701420;DRENAJE DE COLECCION DE FONDO DE SACO (CUPULA VAGINAL);522100
701430;701430;VAGINOPERINEOTOMIA;660700
702101;702101;VAGINOSCOPIA;328600
702203;702203;COLPOSCOPIA;388400
702401;702401;BIOPSIA DE VAGINA;388400
704002;704002;VAGINECTOMIA O COLPECTOMIA PARCIAL;1293200
705110;705110;COLPORRAFIA ANTERIOR CON PLASTIA O REPARACION DE URETROCELE;910800
705210;705210;COLPORRAFIA POSTERIOR;1176600
705301;705301;COLPORRAFIA ANTERIOR Y POSTERIOR;1176600
705302;705302;COLPORRAFIA ANTERIOR Y POSTERIOR CON REPARACION DE ENTEROCELE;910800
705303;705303;COLPORRAFIA ANTERIOR Y POSTERIOR CON AMPUTACION DE CUELLO [MANCHESTER-FOTHERGILL];1477000
706103;706103;VAGINOPLASTIA VIA ABDOMINOPERINEAL;1970700
707110;707110;REPARACION DE DESGARRO VAGINAL NO OBSTETRICO GRADO I-II (COMPROMISO MUCOSO O MUSCULAR);660643
707120;707120;REPARACION DE DESGARRO VAGINAL NO OBSTETRICO GRADO III (RECTOVAGINAL CON COMPROMISO DE ESFINTER ANAL);2116559
707130;707130;REPARACION DE DESGARRO VAGINAL NO OBSTETRICO GRADO IV (ESTALLIDO DE VEJIGA CON O SIN EVISCERACION);3095912
707702;707702;COLPOPEXIA VIA VAGINAL;2116600
707920;707920;CORRECCION DE LACERACION OBSTETRICA ANTIGUA EN VAGINA;660643
709101;709101;EXTRACCION DE DISPOSITIVO O CUERPO EXTRAÑO EN VAGINA SIN INCISION;388400
709102;709102;EXTRACCION DE DISPOSITIVO O CUERPO EXTRAÑO EN VAGINA CON INCISION;388400
709201;709201;REPARACION DE ENTEROCELE POR LAPAROTOMIA;910739
709203;709203;REPARACION DE ENTEROCELE VIA VAGINAL;910739
711110;711110;BIOPSIA DE LABIO MAYOR VULVA;388400
711120;711120;BIOPSIA DE CLITORIS;388400
711130;711130;BIOPSIA DE GLANDULA DE BARTHOLIN;388400
712002;712002;INCISIÓN Y DRENAJE DE LA GLÁNDULA DE BARTHOLIN;328600
712003;712003;MARSUPIALIZACION O DRENAJE EN LA GLANDULA DE BARTHOLIN;522100
712401;712401;RESECCION O ABLACION DE GLANDULA DE BARTHOLIN;328600
713502;713502;RESECCION DE LESION VULVO-PERINEAL;522116
735301;735301;ASISTENCIA DEL PARTO CON O SIN EPISIORRAFIA O PERINEORRAFIA;1176600
735930;735930;ASISTENCIA DEL PARTO ESPONTANEO GEMELAR O MULTIPLE;1176600
735931;735931;ASISTENCIA DEL PARTO INTERVENIDO GEMELAR O MULTIPLE;1176600
740001;740001;CESAREA SEGMENTARIA TRANSPERITONEAL;1293200
750101;750101;LEGRADO UTERINO OBSTETRICO POSPARTO O POSABORTO POR DILATACION Y CURETAJE;522100
750105;750105;LEGRADO UTERINO OBSTÉTRICO POSPARTO O POSABORTO POR ASPIRACIÓN AL VACÍO;522100
754101;754101;REMOCION MANUAL DE PLACENTA RETENIDA O REVISION UTERINA, SIN ATENCION DEL PARTO;388400
755002;755002;REPARACION DE DESGARRO OBSTETRICO RECIENTE DE CUELLO UTERINO [CERVIX] POR VIA VAGINAL;660643
756910;756910;REPARO SECUNDARIO DE EPISIOTOMIA;522116
758002;758002;TAPONAMIENTO OBSTETRICO DE VAGINA;111195
759101;759101;DRENAJE DE COLECCION OBSTETRICA (DE EPISIOTOMIA O EPISIORRAFIA) EN PERINE POR INCISION;388400
762105;762105;ELIMINACION DE EXOSTOSIS O TUBEROSIDADES FIBROSAS EN MAXILAR SUPERIOR O INFERIOR;1176600
765401;765401;REMODELACION DEL CARTILAGO ARTICULAR TEMPOROMANDIBULAR VIA ENDOSCOPICA;1176669
767901;767901;REDUCCIÓN ABIERTA DE BORDE O PARED ORBITAL;1477000
768110;768110;INJERTO OSEO AUTOLOGO O HETEROLOGO POR REBORDE ALVEOLAR;1293200
770100;770100;SECUESTRECTOMIA, DRENAJE, DESBRIDAMIENTO O CURETAJE DE ESCAPULA, CLAVICULA O TORAX (COSTILLAS Y ESTERNON) SOD;660700
770200;770200;SECUESTRECTOMIA, DRENAJE, DESBRIDAMIENTO DE HUMERO SOD;1293200
770301;770301;SECUESTRECTOMIA, DRENAJE, DESBRIDAMIENTO DE RADIO O CUBITO;1293200
770302;770302;SECUESTRECTOMIA, DRENAJE, DESBRIDAMIENTO DE RADIO Y CUBITO;1293200
770401;770401;DRENAJE, CURETAJE O SECUESTRECTOMIA EN HUESOS DEL CARPO (UNO O MAS);660700
770402;770402;DRENAJE, CURETAJE O SECUESTRECTOMIA EN METACARPIANOS (UNO O MAS);660700
770501;770501;SECUESTRECTOMIA, DRENAJE, DESBRIDAMIENTO DE FEMUR VIA ABIERTA;1477000
770601;770601;SECUESTRECTOMIA, DRENAJE, DESBRIDAMIENTO DE ROTULA VIA ABIERTA;522100
770701;770701;SECUESTRECTOMIA, DRENAJE, DESBRIDAMIENTO DE TIBIA O PERONE;1477000
770702;770702;SECUESTRECTOMIA, DRENAJE, DESBRIDAMIENTO DE TIBIA Y PERONE;1477000
770801;770801;SECUESTRECTOMIA, DRENAJE, DESBRIDAMIENTO DE TARSO O METATARSO (CADA UNO);660700
770802;770802;SECUESTRECTOMIA, DRENAJE, DESBRIDAMIENTO DE TARSIANOS Y METATARSIANOS (CADA UNO);660643
770901;770901;SECUESTRECTOMIA, DRENAJE, DESBRIDAMIENTO DE ARTEJO O DE FALANGE DE PIE (CADA UNO);522100
770902;770902;SECUESTRECTOMIA, DRENAJE, DESBRIDAMIENTO DE FALANGES DE MANO (UNA O MAS);660700
770920;770920;SECUESTRECTOMIA, DRENAJE, DESBRIDAMIENTO DE HUESOS PELVIANOS;1293200
770931;770931;DRENAJE, CURETAJE, SECUESTRECTOMIA DE COLUMNA VERTEBRAL VIA POSTERIOR O POSTEROLATERAL;1477000
772105;772105;OSTEOTOMIA DE ESTERNON;1176669
772203;772203;OSTEOTOMIA DE HUMERO CON FIJACION INTERNA;1477000
772204;772204;OSTEOTOMIA DE HUMERO CON FIJACION EXTERNA;1477000
772304;772304;OSTEOTOMIA EN RADIO O CUBITO CON FIJACION INTERNA;1477000
772305;772305;OSTEOTOMIA EN RADIO O CUBITO CON FIJACION EXTERNA;1477000
772306;772306;OSTEOTOMIA EN RADIO Y CUBITO CON FIJACION INTERNA;1477000
772307;772307;OSTEOTOMIA EN RADIO Y CUBITO CON FIJACION EXTERNA;1477000
772403;772403;OSTEOTOMIA EN CARPIANO O METACARPIANO CON FIJACION INTERNA;1293200
772404;772404;OSTEOTOMIA EN CARPIANO O METACARPIANO CON FIJACION EXTERNA;1293200
772405;772405;OSTEOTOMIA EN CARPIANO Y METACARPIANO CON FIJACION INTERNA;1293200
772406;772406;OSTEOTOMIA EN CARPIANO Y METACARPIANO CON FIJACION EXTERNA;1293200
772506;772506;OSTEOTOMIA EN FEMUR MULTIPLE CON FIJACION INTERNA O EXTERNA;2415700
772507;772507;OSTEOTOMIA EN FEMUR PROXIMAL (CUELLO DE FEMUR O INTERTROCANTERICA O SUBTROCANTERICA) CON FIJACION INTERNA;1970700
772509;772509;OSTEOTOMIA EN DIAFISIS DE FEMUR CON FIJACION INTERNA;1970700
772510;772510;OSTEOTOMIA EN DIAFISIS DE FEMUR CON FIJACION EXTERNA;1970700
772706;772706;OSTEOTOMÍA DE DIÁFISIS DE TIBIA CON FIJACIÓN INTERNA;2263300
772907;772907;OSTEOTOMÍA EN FALANGE DE DEDO DE PIE (EXCEPTO GRUESO ARTEJO) SIN FIJACIÓN;660700
774001;774001;BIOPSIA DE HUESO EN SITIO NO ESPECIFICADO, VIA ABIERTA;522100
774002;774002-1;BIOPSIA DE HUESO EN SITIO NO ESPECIFICADO, ;154665
774002;774002-2;BIOPSIA DE HUESO EN SITIO NO ESPECIFICADO,;273022
774002;774002-3;BIOPSIA DE HUESO EN SITIO NO ESPECIFICADO, ;153251
774003;774003;BIOPSIA DE HUESO EN SITIO NO ESPECIFICADO, VIA ENDOSCOPICA;522100
775402;775402;REPARACION DE DEDO DE PIE EN MARTILLO O EN GARRA CON TRANSFERENCIA TENDINOSA (CADA ARTEJO) VIA ABIERTA;1293200
775403;775403;REPARACION DE DEDO DE PIE EN MARTILLO O EN GARRA CON REPARACION DE LA PLACA PLANTAR (CADA ARTEJO) VIA ABIERTA;1293200
776001;776001;RESECCION DE EXOSTOSIS EN HUESO NO ESPECIFICADO (UNA O MAS);1176669
776101;776101;ESCISION TUMOR BENIGNO DE CLAVICULA;660700
776102;776102;ESCISION TUMOR MALIGNO DE CLAVICULA;660700
776201;776201;ESCISION TUMOR BENIGNO EN HUMERO;1176600
776203;776203;ESCISION TUMOR MALIGNO EN HUMERO;1293200
776204;776204;RESECCION DE LESION OSEA EN HUMERO;1293200
776301;776301;ESCISION TUMOR BENIGNO EN RADIO O CUBITO;1176600
776302;776302;ESCISION TUMOR MALIGNO EN RADIO O CUBITO;1293200
776401;776401;ESCISION TUMOR BENIGNO EN CARPIANOS O METACARPIANOS;910739
776501;776501;ESCISION TUMOR BENIGNO EN FEMUR;1293200
776503;776503;ESCISION TUMOR MALIGNO EN FEMUR;1477000
776601;776601;ESCISION TUMOR BENIGNO EN ROTULA;910800
776602;776602;ESCISION TUMOR MALIGNO EN ROTULA;910800
776702;776702;ESCISION TUMOR MALIGNO EN TIBIA O PERONE;1293200
776801;776801;RESECCION DE LESION MALIGNA OSEA EN TARSIANOS O METATARSIANOS;1176600
776901;776901;ESCISION DE TUMOR BENIGNO EN FALANGES DE PIE O DE MANO;910800
776902;776902;ESCISION DE TUMOR MALIGNO EN FALANGES DE PIE O DE MANO;1176600
776920;776920;ESCISION DE TUMOR BENIGNO EN HUESOS PELVIANOS;1293200
776921;776921;ESCISION DE TUMOR MALIGNO EN HUESOS PELVIANOS;2263300
776931;776931;ESCISION DE TUMOR (BENIGNO O MALIGNO) EN COLUMNA VERTEBRAL VIA POSTERIOR O POSTEROLATERAL;2263300
778102;778102;RESECCION PARCIAL DE CLAVICULA;1176669
778103;778103;RESECCION PARCIAL DE CLAVICULA, VIA ENDOSCOPICA;1176669
778201;778201;RESECCION DE EPICONDILO O EPITROCLEA HUMERAL;1176600
778202;778202;HEMI O DIAFISECTOMIA DE HUMERO;1477000
778301;778301;RESECCION PARCIAL DE DIAFISIS EN CUBITO (HEMIDIAFISECTOMIA);1477000
778302;778302;RESECCION DE EPIFISIS DE CUBITO;1176669
778305;778305;RESECCION DE OLECRANON;1176600
778306;778306;RESECCION DE CABEZA DE RADIO;1176600
778501;778501;HEMIDIAFISECTOMIA EN FEMUR;1970700
778703;778703;HEMIDIAFISECTOMIA EN TIBIA Y PERONE;1477000
778901;778901;HEMIDIAFISECTOMIA FALANGES DE MANO (UNA O MAS);660700
778902;778902;RESECCION CABEZA DE FALANGE DE MANO (UNA O MAS);1176600
778911;778911;HEMIDIAFISECTOMIA FALANGES DE PIE (UNA O MAS);910800
778921;778921;RESECCION PARCIAL DE HUESOS PELVIANOS;1176669
778923;778923;HEMIPELVECTOMIA;2220500
779131;779131;RESECCION TOTAL DE COSTILLA O COSTOCONDRECTOMIA (UNA O MAS);1477000
779600;779600;RESECCION TOTAL DE ROTULA O PATELECTOMIA SOD;1293272
779802;779802;ASTRAGALECTOMIA;1477000
779941;779941;RESECCION TOTAL DE COCCIX [COCCIGECTOMIA];1293272
780101;780101;INJERTO OSEO EN CLAVICULA;1293200
780201;780201;INJERTO OSEO EN HUMERO;1970700
780300;780300;INJERTO OSEO EN CUBITO O RADIO SOD;1970700
780401;780401;INJERTO OSEO EN HUESOS DEL CARPO (EXCEPTO ESCAFOIDES);1176600
780402;780402;INJERTO OSEO EN ESCAFOIDES;2116600
780403;780403;INJERTO OSEO EN METACARPIANOS (UNO O MAS);1477000
780600;780600;INJERTO OSEO EN ROTULA SOD;1293291
780701;780701;INJERTO ÓSEO EN TIBIA O PERONÉ;2116600
780800;780800;INJERTO OSEO EN HUESOS TARSIANOS O METATARSIANOS SOD;1293200
780901;780901;APLICACION DE INJERTO OSEO EN FALANGE DE LA MANO;1477000
780902;780902;INJERTO OSEO EN FALANGES DEL PIE (UNA O MAS);1477000
780920;780920;INJERTO OSEO EN PELVIS;1970700
780932;780932;INJERTO OSEO EN COLUMNA VERTEBRAL VIA POSTERIOR;2116600
781202;781202;COLOCACION DE DISPOSITIVO DE FIJACION EN CODO;1293200
781301;781301;APLICACION DE TUTOR EXTERNO EN RADIO O CUBITO;1293200
781302;781302;APLICACION DE TUTORES EXTERNOS EN RADIO Y CUBITO;1293200
781304;781304;APLICACION DE TUTORES EXTERNOS EN PUÑO O MUÑECA;1293200
781401;781401;APLICACION DE TUTOR EXTERNO EN MANO;1293200
781501;781501;APLICACION DE TUTOR EXTERNO EN FEMUR;1293200
781502;781502;APLICACION DE TUTORES EXTERNOS EN MUSLO;1293200
781601;781601;APLICACION DE TUTOR EXTERNO RODILLA;1293200
781701;781701;APLICACION DE TUTORES EXTERNOS EN TIBIA O PERONE;1293200
781702;781702;APLICACION DE TUTORES EXTERNOS EN TIBIA Y PERONE;1293200
781703;781703;APLICACION DE TUTOR EXTERNO EN CUELLO DE PIE;1293200
781801;781801;APLICACION DE TUTOR EXTERNO PIE;1293200
781802;781802;COLOCACION DE DISPOSITIVO EXTERNO EN PIE (CALCANEO);1293200
782213;782213;EPIFISIODESIS ABIERTA DE CUBITO Y RADIO;1477000
782513;782513;EPIFISIODESIS ABIERTA DE TIBIA Y PERONE;1477000
783001;783001;TRANSPOSICION OSEA EN HUESOS LARGOS CON COLOCACION DE TUTOR EXTERNO;2673104
786102;786102;EXTRACCION DE CUERPO EXTRAÑO EN ESCAPULA, CLAVICULA O TORAX (COSTILLAS Y ESTERNON), VIA ABIERTA;660700
786201;786201;EXTRACCION DE DISPOSITIVO IMPLANTADO EN HUMERO;1176600
786202;786202;EXTRACCION DE CUERPO EXTRAÑO EN HUMERO, VIA ABIERTA;1176600
786301;786301;EXTRACCION DE DISPOSITIVO IMPLANTADO EN RADIO O CUBITO;388400
786302;786302;EXTRACCION DE CUERPO EXTRAÑO EN RADIO O CUBITO, VIA ABIERTA;660643
786401;786401;EXTRACCION DE DISPOSITIVO IMPLANTADO EN CARPIANOS O METACARPIANOS (UNO O MAS);1176669
786501;786501;EXTRACCION DE DISPOSITIVO IMPLANTADO EN FEMUR;1293200
786502;786502;EXTRACCION DE CUERPO EXTRAÑO EN FEMUR, VIA ABIERTA;1293200
786602;786602;EXTRACCION DE CUERPO EXTRAÑO EN ROTULA, VIA ABIERTA;522100
786701;786701;EXTRACCION DE DISPOSITIVO IMPLANTADO EN TIBIA O PERONE;1293200
786702;786702;EXTRACCION DE CUERPO EXTRAÑO EN TIBIA O PERONE, VIA ABIERTA;1293200
786802;786802;EXTRACCIÓN DE CUERPO EXTRAÑO EN TARSIANOS O METATARSIANOS (CADA UNO) VÍA ABIERTA;660643
786920;786920;EXTRACCION DE DISPOSITIVO IMPLANTADO EN HUESOS PELVIANOS;388400
786921;786921;EXTRACCION DE CUERPO EXTRAÑO EN HUESOS PELVIANOS, VIA ABIERTA;1176600
